"","fire_fly_id","contentPerVisit","subsecPerVisit","secPerVisit","recency","avgTime"
"124",2855340,1.09861228866811,1.09861228866811,0.693147180559945,27.0185121722126,0
"125",2865352,0.693147180559945,0.693147180559945,0.693147180559945,27.4408454680245,0.693147180559945
"126",2869006,1.09861228866811,0.693147180559945,1.09861228866811,21.2132034355964,0
"127",2873980,1.09861228866811,0.693147180559945,1.09861228866811,14.1774468787578,0
"128",2875288,0.693147180559945,0.693147180559945,0.693147180559945,22.293496809608,4.4188406077966
"129",2875498,0.995071609727269,0.625324584221184,0.893072441772148,9.8488578017961,2.49732916978656
"130",2875814,1.28093384546206,1.28093384546206,1.22377543162212,21.1896201004171,3.8286413964891
"131",2877060,0.828692672556169,0.800119300112113,0.709147521906386,21.3775583264319,2.29924619172853
"132",2878031,1.09861228866811,1.09861228866811,0.693147180559945,26.6645832519468,0
"133",2878485,0.693147180559945,0.693147180559945,0.693147180559945,25.5342906696074,0
"134",2880996,0.693147180559945,1.09861228866811,0.693147180559945,20.8326666559997,0
"135",2885121,0.693147180559945,0,0.693147180559945,18.2756668824971,0
"136",2892953,0.693147180559945,0.693147180559945,0.693147180559945,25.9229627936314,0
"137",2902537,1.25276296849537,0.693147180559945,1.09861228866811,21.1187120819429,1.6094379124341
"138",2908577,0.693147180559945,0.693147180559945,0.693147180559945,21.1896201004171,0
"139",2916407,0.693147180559945,0.693147180559945,0.693147180559945,22.4499443206436,0
"140",2944976,0.693147180559945,0,0.693147180559945,21.7944947177034,0
"141",2953589,0.693147180559945,0.693147180559945,0.693147180559945,20.8326666559997,0
"142",2953991,1.6094379124341,1.09861228866811,1.09861228866811,25.8456959666402,0
"143",2958764,0.693147180559945,0,0.693147180559945,23.7697286480094,0
"144",2965416,0.693147180559945,0,0.693147180559945,23.7697286480094,0
"145",2966771,0.693147180559945,0.693147180559945,0.693147180559945,21.2132034355964,0
"146",2969646,0.693147180559945,0,0.693147180559945,20.2731349327133,0
"147",2970610,1.09861228866811,0,0.693147180559945,23.5584379787795,0
"148",2986148,0.693147180559945,0,0.693147180559945,21.6333076527839,0
"149",2986923,0.693147180559945,0.693147180559945,0.693147180559945,17.3493515728975,0
"150",2996511,0.693147180559945,0,0.693147180559945,26.6270539113887,0
"151",3008370,0.693147180559945,0.693147180559945,0.693147180559945,22.6715680975093,0
"152",3012151,0.693147180559945,0.693147180559945,0.693147180559945,22.8910462845192,0
"153",3012376,1.09861228866811,0.693147180559945,1.09861228866811,17.6351920885484,0
"154",3016748,1.6094379124341,1.6094379124341,1.09861228866811,21.5638586528478,0
"155",3018651,0.693147180559945,0,0.693147180559945,19.4679223339318,0
