"","fire_fly_id","home","sports","news","life","entertainment","tech","weather","opinion","travel","money","search","pct_home","pct_sports","pct_news","pct_life","pct_entertainment","pct_tech","pct_weather","pct_opinion","pct_travel","pct_money","pct_search","Other","gallery","homefront","section.front","story","sub.section","pct_Other","pct_homefront","pct_section.front","pct_story","pct_sub.section"
"1069",3428928,6,5898,38,1,0,0,1,0,0,0,1,0.00100418410041841,0.987112970711297,0.00635983263598326,0.000167364016736402,0,0,0.000167364016736402,0,0,0,0.000167364016736402,497,0.578242677824268,5,617,782,619,0.0831799163179916,0.000836820083682008,0.10326359832636,0.130878661087866,0.103598326359833
"1070",3431086,6,0,0,0,0,0,0,1,0,0,1,0.0294117647058824,0,0,0,0,0,0,0.00490196078431373,0,0,0.00490196078431373,197,0,6,0,1,0,0.965686274509804,0.0294117647058824,0,0.00490196078431373,0
"1071",3431201,46,0,9,0,0,0,0,0,0,0,0,0.131428571428571,0,0.0257142857142857,0,0,0,0,0,0,0,0,298,0,46,2,4,0,0.851428571428571,0.131428571428571,0.00571428571428571,0.0114285714285714,0
"1072",3431447,75,0,4,4093,0,0,0,0,0,0,2,0.0166926329846428,0,0.000890273759180948,0.910972624081905,0,0,0,0,0,0,0.000445136879590474,321,0.904963276207434,75,0,31,0,0.0714444691742711,0.0166926329846428,0,0.00689962163365235,0
"1073",3431639,34,0,1,0,0,1,0,0,0,0,0,0.0273311897106109,0,0.000803858520900322,0,0,0.000803858520900322,0,0,0,0,0,1203,0,34,3,1,3,0.967041800643087,0.0273311897106109,0.00241157556270096,0.000803858520900322,0.00241157556270096
"1074",3432285,12919,1944,8921,1365,12,0,261,34,0,21,9,0.505992480025067,0.076139746200846,0.349404668651104,0.0534623217922607,0.000469998433338556,0,0.0102224659251136,0.00133166222779257,0,0.000822497258342472,0.000352498825003917,914,0.302874823750587,12919,984,2556,426,0.0357982140059533,0.505992480025067,0.0385398715337616,0.100109666301112,0.0166849443835187
"1075",3433484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1076",3433877,0,1,0,0,0,0,0,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,140,0,0,0,1,0,0.99290780141844,0,0,0.00709219858156028,0
"1077",3434557,1,0,0,0,0,0,0,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,165,0,1,0,0,0,0.993975903614458,0.00602409638554217,0,0,0
"1078",3434812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1079",3434913,30,22,2026,7760,369,0,0,2,0,4,0,0.00293714509496769,0.00215390640297631,0.198355198746818,0.759741531231643,0.0361268846681026,0,0,0.000195809672997846,0,0.000391619345995692,0,74,0.947033483454083,30,136,301,0,0.00724495790092031,0.00293714509496769,0.0133150577638535,0.0294693557861758,0
"1080",3435106,13,4,1,0,0,0,1,0,0,0,0,0.122641509433962,0.0377358490566038,0.00943396226415094,0,0,0,0.00943396226415094,0,0,0,0,89,0,13,1,3,0,0.839622641509434,0.122641509433962,0.00943396226415094,0.0283018867924528,0
"1081",3435741,4,0,3,0,0,0,0,0,0,0,0,0.363636363636364,0,0.272727272727273,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0.545454545454545,0.363636363636364,0,0.0909090909090909,0
"1082",3435999,0,9,0,0,0,0,0,0,0,0,0,0,0.818181818181818,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0.727272727272727,0,0,0.272727272727273,0
"1083",3440137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0,0,0,0
"1084",3441167,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
