fire_fly_id,referrer_type_value,percentbyref
2770543,Typed/Bookmarked,0.75
2776045,Social Networks,1
2776045,Typed/Bookmarked,1
2778618,Typed/Bookmarked,1
2786821,Other Web Sites,1
2792078,Inside Your Site,1
2792078,Typed/Bookmarked,1
2806513,Inside Your Site,1
2806513,Typed/Bookmarked,1
2811929,Typed/Bookmarked,1
2814943,Inside Your Site,1
2814943,Typed/Bookmarked,1
2821276,Inside Your Site,1
2821276,Typed/Bookmarked,1
2821675,Typed/Bookmarked,1
2834446,Inside Your Site,0.5
2834446,Typed/Bookmarked,1
2834990,Typed/Bookmarked,1
2853377,Typed/Bookmarked,1
2855340,Inside Your Site,1
2855340,Typed/Bookmarked,1
2865352,Other Web Sites,1
2869006,Inside Your Site,1
2869006,Typed/Bookmarked,1
2873980,Inside Your Site,1
2873980,Typed/Bookmarked,1
2875288,Inside Your Site,1
2875498,Inside Your Site,0.36065573770491804
2875498,Other Web Sites,0.01639344262295082
2875498,Search Engines,0.09836065573770492
2875498,Typed/Bookmarked,0.7868852459016393
2875814,Inside Your Site,0.4
2875814,Social Networks,0.4
2875814,Typed/Bookmarked,1
2877060,Inside Your Site,0.03225806451612903
2877060,Search Engines,0.03225806451612903
2877060,Social Networks,0.8387096774193549
2877060,Typed/Bookmarked,0.3548387096774194
2878031,Typed/Bookmarked,1
2878485,Typed/Bookmarked,1
2880996,Typed/Bookmarked,1
2885121,Typed/Bookmarked,1
2892953,Social Networks,1
2902537,Inside Your Site,1
2902537,Social Networks,0.5
2902537,Typed/Bookmarked,1
2908577,Typed/Bookmarked,1
2916407,Typed/Bookmarked,1
2944976,Typed/Bookmarked,1
2953589,Typed/Bookmarked,1
2953991,Inside Your Site,1
2953991,Typed/Bookmarked,1
2958764,Typed/Bookmarked,1
2965416,Other Web Sites,1
2966771,Typed/Bookmarked,1
2969646,Typed/Bookmarked,1
2970610,Search Engines,1
2970610,Typed/Bookmarked,1
2986148,Search Engines,1
2986923,Typed/Bookmarked,1
2996511,Typed/Bookmarked,1
3008370,Other Web Sites,1
